vuln_id,compiler,compiler_version,vulnerability_type,root_cause,root_cause_detail,impact,compilation_stage,description,reported_time,reference,NNSmith,MT-DLComp,TVMFuzz
6718,openxla/xla,Before commit 116aedaba5356d8b8f37201cf9a0e4261bb65d60,CWE-248: Uncaught Exception,Others,"The custom partitioner/backend configuration path attempts to decode non-UTF-8 bytes as UTF-8 and does not catch/handle UnicodeDecodeError, causing an INTERNAL XlaRuntimeError crash when presented with malformed or unexpected configuration/model metadata.",Compilation Crash,Backend,XlaRuntimeError: INTERNAL: custom_partitioner: UnicodeDecodeError: 'utf-8' codec can't decode byte...,2023-11-02T06:53:35Z,https://github.com/openxla/xla/issues/6718,N,N,N
6787,openxla/xla,Before commit 1cb38d0dce829256a49c65f7a3c3c78dc78787d2,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"The CPU backend/JIT-generated code for float16->float32 conversion depends on the compiler-rt/libgcc helper symbol `__extendhfsf2`, but in some (virtualized) environments that symbol is not available or not linked/loaded, causing a runtime link failure and crash (availability impact) when executing models that trigger this conversion.",Compilation Crash,Backend,Float16 to Float32 conversion crashing with symbols not found: __extendhfsf2 in virualized env,2023-11-06T06:06:27Z,https://github.com/openxla/xla/issues/6787,N,N,N
1076,pytorch/glow,Before commit 3e19f4ed53d8e20f048d7c07d3b8432cfcabd67f,CWE-704: Incorrect Type Conversion or Cast,Backend Inconsistencies,"The OpenCL backend generates a kernel signature that includes (or nests) the host-specific type `size_t`, which is disallowed for `__kernel` arguments in the targeted OpenCL C environment. This causes `clBuildProgram` to fail during kernel compilation/setup, leading to a crash/denial of service when compiling or running affected models.",Invalid Output Generation,Backend,"[OpenCL] clBuildProgram Failed. __kernel function cannot have argument whose type is, or contains, type size_t.",2018-05-24T17:29:04Z,https://github.com/pytorch/glow/issues/1076,N,N,N
1157,pytorch/glow,Before commit 0639b62e49048ce41b3baa96ab3a2ede3babcfff,Improper Control of Compilation Availability,Memory Management Defects,"Compiling the ResNet-50 example triggers a segfault during code generation, indicating the backend can generate incorrect/unsafe code leading to crashes and potential memory corruption from a crafted model/program.",Memory-safety Violation,Backend,Resnet 50 example segfault,2018-06-20T16:39:51Z,https://github.com/pytorch/glow/issues/1157,N,N,N
1255,pytorch/glow,Before commit 012e89567174d4760f66d7a4cc617a11091532a4,Improper Control of Compilation Availability,Memory Management Defects,"The OpenCL backend fails to correctly release allocated GPU/host resources during runtime execution, causing memory usage to grow over time and enabling resource exhaustion (availability impact) when running models repeatedly or with crafted workloads.",Resource Exhaustion,Runtime,OpenCL backend leaks memory,2018-07-11T17:38:37Z,https://github.com/pytorch/glow/issues/1255,N,N,N
1474,pytorch/glow,Before commit 2641119b4238a31624239e3794911c74232e3351,Incorrect Preservation of Model Semantics,Numerical Computing Defects,"The quantization flow (profile generation/loading) does not correctly account for broadcasted tensor shapes when computing/applying quantization parameters, which can yield inconsistent inference results and may also trigger crashes due to mismatched assumptions about tensor dimensions.",Inference Inconsistency,Frontend,Potential problem in the quantization flow in case of broadcasting,2018-08-17T10:03:20Z,https://github.com/pytorch/glow/issues/1474,N,N,N
1492,pytorch/glow,Before commit 0f3eb1ed8636e5a3a85ad8b933e6a0835bd8a6dd,Improper Control of Compilation Availability,Memory Management Defects,"ConcatNode::getInputName() returns a const reference to a temporary std::string, leaving callers with a dangling reference. Subsequent use can trigger use-after-free/undefined behavior leading to memory corruption and crashes during IR/graph metadata access.",Memory-safety Violation,Frontend,`ConcatNode::getInputName()` returns a reference to temporary string.,2018-08-21T10:22:32Z,https://github.com/pytorch/glow/issues/1492,N,N,N
1512,pytorch/glow,Before commit 0e541f8b9c300ec717c102f7bcc2f6bf0bbb08ff,CWE-682: Incorrect Calculation,Numerical Computing Defects,"Glow's quantization strategy for Softmax can produce inconsistent or incorrect inference outputs versus the expected floating-point semantics, indicating a semantic mismatch introduced during IR/type inference/verification and quantized lowering rather than a hard crash.",Inference Inconsistency,Frontend,[RFC] Softmax quantization problematic,2018-08-23T11:56:34Z,https://github.com/pytorch/glow/issues/1512,N,N,N
1517,pytorch/glow,Before commit 0e541f8b9c300ec717c102f7bcc2f6bf0bbb08ff,CWE-20: Improper Input Validation,Invariant Violations,"The issue describes that malformed or invalid graphs are not robustly detected/handled with proper error reporting, leading to crashes (and potentially inconsistent inference behavior) when adversarial or malformed model graphs reach IR verification/front-end validation instead of being safely rejected.",Inference Inconsistency,Frontend,"[RFC] Error reporting, malformed graph, and general resilience",2018-08-23T19:30:24Z,https://github.com/pytorch/glow/issues/1517,N,N,N
1580,pytorch/glow,Before commit 07723af2d5ff92e652ae6a8f436ff0c94c0a9d7b,CWE-20: Improper Input Validation,Invariant Violations,"The ONNX frontend/importer in Glow (prior to commit 07723af2d5ff92e652ae6a8f436ff0c94c0a9d7b) can be driven to crash when loading certain PyTorch-generated ONNX graphs, indicating missing robustness checks/handling for unexpected ONNX node/attribute/value combinations during model import, resulting in a denial-of-service via crafted model input.",Compilation Crash,Model load,Pytorch generated ONNX graph with GLOW,2018-09-04T21:12:54Z,https://github.com/pytorch/glow/issues/1580,N,N,N
1736,pytorch/glow,Before commit 14cd64d0df273a599b72e46530342f6be1daa041,CWE-617: Reachable Assertion,Invariant Violations,"The ONNX loader can be driven by a crafted/invalid ONNX model into an out-of-range access (Index >= Length), triggering an internal assertion (""Invalid index!"") and crashing the compiler during model import, indicating insufficient input validation before indexing.",Compilation Crash,Model load,"Assertion failed: (Index < Length && ""Invalid index!"") when testing glow using onnx",2018-09-28T00:16:10Z,https://github.com/pytorch/glow/issues/1736,N,N,N
1750,pytorch/glow,Before commit 14cd64d0df273a599b72e46530342f6be1daa041,CWE-754: Improper Check for Unusual or Exceptional Conditions,Invariant Violations,"Saving the MNIST example as a bundle triggers a crash in the LLVM IR generation/bundle saving path due to missing/incorrect handling of an exceptional state (e.g., unsupported configuration or invalid internal assumptions), causing compilation to terminate instead of failing gracefully.",Compilation Crash,Backend,Error when saving mnist example as bundle,2018-09-29T18:14:09Z,https://github.com/pytorch/glow/issues/1750,N,Y,N
1755,pytorch/glow,Before commit 28012c8e495e3c8fa1fffbd0fdfd47abff3f5c90,CWE-754: Improper Check for Unusual or Exceptional Conditions,Invariant Violations,"The ONNXIFI/ONNX-to-Glow IR translation path can be driven into a crash by certain ONNX test cases, indicating missing robustness checks/handling for unusual or unsupported graph/operator attributes during model import, resulting in a denial-of-service condition (compiler/runtime availability loss).",Compilation Crash,Frontend,[ONNXIFI] Crashes on several onnx test cases.,2018-10-01T18:04:42Z,https://github.com/pytorch/glow/issues/1755,N,N,N
1800,pytorch/glow,Before commit 1da1109b4f1264ec1cc21bf9af949d9f0ddcf03c,CWE-754: Improper Check for Unusual or Exceptional Conditions,Invariant Violations,"In Glow versions before commit 1da1109b4f1264ec1cc21bf9af949d9f0ddcf03c, the bundle (AOT) generation path is broken and can crash during code generation, indicating missing validation/robust handling of bundle-specific assumptions and exceptional cases, allowing crafted models/configurations to trigger a compiler availability failure.",Compilation Crash,Backend,[bundles] Bundles are broken,2018-10-04T23:49:09Z,https://github.com/pytorch/glow/issues/1800,N,Y,N
1973,pytorch/glow,Before commit 1f36190408645c2f325d966f8ed2667dcf7c4b45,CWE-617: Reachable Assertion,Invariant Violations,"A crafted or malformed ONNX/Protobuf model can trigger an internal assertion failure during frontend/model import (ModelRunner/ProtobufLoader), causing the compiler/runtime to abort and crash instead of handling the condition gracefully.",Compilation Crash,Model load,ModelRunner failing assertion,2018-11-07T22:17:04Z,https://github.com/pytorch/glow/issues/1973,N,Y,N
1992,pytorch/glow,Before commit 3369d9ca8dcca370d3381f0288d68a121d319e50,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"A recent refactor caused the `-convert-inout-to-fp16` graph-construction/frontend transformation to run in an invalid order or with unmet prerequisites, leading to a crash when loading/constructing the model graph with this flag enabled.",Invalid Output Generation,Frontend,[ImageClassifier] Broken `-convert-inout-to-fp16` due to recent refactoring,2018-11-08T23:45:37Z,https://github.com/pytorch/glow/issues/1992,N,N,N
2026,pytorch/glow,Before commit 1b71b300fa3cad63a5ef63059bb31e37c8361201,CWE-20: Improper Input Validation,Invariant Violations,"The ONNXIFI interface layer fails to properly validate/recognize invalid or stale IDs (e.g., backend/graph/event handles), allowing crafted or incorrect IDs to reach runtime code paths that assume validity, leading to a crash.",Compilation Crash,Runtime,[ONNXIFI] onnxifi interface implementation can't identify invalid IDs,2018-11-15T00:24:21Z,https://github.com/pytorch/glow/issues/2026,N,N,N
2059,pytorch/glow,Before commit 032a61ae8e4917ad7e172d7d87feeed70abed448,CWE-682: Incorrect Calculation,Numerical Computing Defects,"The CPU backend FunctionSpecializer performs arithmetic on sizes/offsets/costs using insufficiently wide integer types or without overflow checks, allowing crafted models/tensor shapes to trigger overflow that leads to invalid memory/logic states and crashes (and potentially inconsistent inference behavior).",Inference Inconsistency,Backend,[Bug] Overflow in FunctionSpecializer,2018-11-20T03:28:28Z,https://github.com/pytorch/glow/issues/2059,N,Y,N
2073,pytorch/glow,Before commit 6a3eb060dbdfb799a819a220310136c9526f2a6c,CWE-682: Incorrect Calculation,Numerical Computing Defects,"Using the -ffast-math build flag enables non-IEEE floating-point optimizations (e.g., assuming no NaNs/Infs, reassociation), which can alter NaN propagation and comparison behavior at runtime, leading to inference result inconsistencies versus the original model semantics.",Inference Inconsistency,Backend,Issue using -ffast-math with NaN,2018-11-23T20:32:03Z,https://github.com/pytorch/glow/issues/2073,N,Y,N
2104,pytorch/glow,Before commit 0463fc6f750c5727eb028aef8517c66196192234,Improper Control of Compilation Availability,Memory Management Defects,"The OpenCL runtime path leaks allocated resources (e.g., device buffers/contexts/command queues or related host-side objects) across executions, allowing crafted workloads or repeated runs to exhaust memory and eventually crash or hang the process, impacting inference availability.",Resource Exhaustion,Runtime,[GLOW] Memory leaking in opencl and build issues,2018-11-30T17:37:17Z,https://github.com/pytorch/glow/issues/2104,N,N,N
2123,pytorch/glow,Before commit 018a598ff0a233f6e541918a5ce987325a516921,CWE-754: Improper Check for Unusual or Exceptional Conditions,Invariant Violations,"During runtime JIT execution/object emission, LLVM's GDBRegistrationListener is invoked more than once, triggering a fatal error/assertion (""Second attempt to perform debug registration"") and crashing the process. A crafted or repeated compilation/execution path can reach this condition, causing a denial-of-service via crash.",Compilation Crash,Runtime,"Error in LLVM GDBRegistrationListener.cpp: ""Second attempt to perform debug registration.""",2018-12-05T18:01:17Z,https://github.com/pytorch/glow/issues/2123,N,Y,N
2135,pytorch/glow,Before commit 62ba53e93fa512c81745eec09b4f5a97861a3090,Improper Control of Compilation Availability,Others,"After a prior change (#2122), the text-translator path is broken, leading to a crash during frontend/model loading. This is an availability issue triggered by certain inputs/models rather than a correctness or memory-safety flaw described in the report.",Compilation Crash,Model load,text-translator is broken after #2122,2018-12-07T01:20:49Z,https://github.com/pytorch/glow/issues/2135,N,N,N
2165,pytorch/glow,Before commit 07a4327842e38af134b7a040d2ea49029748e8ce,Incorrect Preservation of Model Semantics,Numerical Computing Defects,"The early IR optimization pass folds Quantize(Constant) into a Constant before lowering, but this transformation is not semantics-preserving across later lowering/post-lowering quantization handling, leading to inference result inconsistencies due to mismatched quantization parameters/rounding behavior.",Inference Inconsistency,Frontend,Delay the 'Quantize(Constant)->Constant' optim until after post-lowering.,2018-12-12T10:02:13Z,https://github.com/pytorch/glow/issues/2165,N,N,N
2187,pytorch/glow,Before commit 1e6499d1f2372b9973aa6e4e7dee0901822267d2,CWE-754: Improper Check for Unusual or Exceptional Conditions,Invariant Violations,"The ONNXIFI GraphAPI graph-construction functions lacked safe ""orErr"" variants, causing failures during model loading/graph creation to propagate as crashes instead of being handled and reported as recoverable errors, enabling denial-of-service via malformed or unexpected inputs.",Compilation Crash,Frontend,"[ONNXIFI][GraphAPI] Add ""orErr"" methods for graph creation api",2018-12-17T23:27:54Z,https://github.com/pytorch/glow/issues/2187,N,N,N
2188,pytorch/glow,Before commit 1e6499d1f2372b9973aa6e4e7dee0901822267d2,CWE-20: Improper Input Validation,Tensor Mapping Defects,"The ONNXIFI frontend model import path lacked sufficient validation/precondition checks on incoming model structures/attributes, allowing malformed or unexpected models to trigger crashes during loading, impacting compilation/inference availability.",Compilation Crash,Frontend,[ONNXIFI] Add additional precondition checks to model loaders,2018-12-17T23:35:42Z,https://github.com/pytorch/glow/issues/2188,N,N,N
2189,pytorch/glow,Before commit 1e6499d1f2372b9973aa6e4e7dee0901822267d2,CWE-754: Improper Check for Unusual or Exceptional Conditions,Memory Management Defects,"The ONNXIFI frontend path (onnxInitGraph through HostManager::addNetwork) does not properly detect/propagate allocation failures, so a crafted or very large model can trigger out-of-memory leading to crashes or resource exhaustion instead of graceful failure.",Resource Exhaustion,Runtime,[ONNXIFI] Handle out of memory errors in onnxInitGraph,2018-12-17T23:55:40Z,https://github.com/pytorch/glow/issues/2189,N,N,N
